Country,Name,Region,Scenario,Degrees,GCM,Welfare Component,Labor Shock,ST_AG_Welfare_in_M_USD,ST_NONAG_Welfare_in_M_USD,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
aus,Australia,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.224162802,-75.86569977,-75.64157105,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,6.493973732,-5.415603638,1.078355908,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.643853903,3.525945664,6.169799328,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-3153.081055,-11892.39453,-15045.47949,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-11.672719,-28.88640976,-40.55911636,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-55.25519562,-1306.740479,-1361.996094,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-28.38326263,-472.0927734,-500.4758301,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.76112628,-2.239257574,-3.000384808,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-12.78787613,-510.2150269,-523.0029907,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.744550228,-18.22756577,-20.97211456,65991.24494,60750.1563
brn,Brunei Darussalam,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.26549384,-1.708632588,-1.974126577,11404.3365,10575.5898
khm,Cambodia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-3.644385338,-6.539263248,-10.18364906,20269.07872,20846.584
idn,Indonesia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,12.03586006,-113.6613312,-101.6254273,995883.1294,902508.75
lao,Lao PDR,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-4.8038764,-4.47253418,-9.276408196,15937.08307,15495.9434
mys,Malaysia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,9.808393478,9.345232964,19.1536274,306019.3639,286098.25
phl,Philippines,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,26.96868515,64.11050415,91.07912445,299024.833,308774
sgp,Singapore,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.313481569,-1.802524447,-4.116006851,306124.7433,311263.2188
tha,Thailand,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.774932384,-44.6675415,-43.89261246,402651.6075,407908.0937
vnm,Viet Nam,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-103.7628784,-188.0085144,-291.7713013,194587.7331,210226.0781
xse,Rest of Southeast Asia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,28.01733398,11.05106354,39.06839371,60388.88224,59210.5547
afg,Afghanistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-5.330440521,2.117043734,-3.21339941,16888.34378,15970.0098
bgd,Bangladesh,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,56.56728363,133.8808136,190.4480286,289703.3159,272672.4375
ind,India,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-170.6681366,-878.8220215,-1049.490356,2525112.672,2434175.5
npl,Nepal,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.000399771,-2.912581444,-2.912982941,23537.00307,26950.0723
pak,Pakistan,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-402.9912109,-273.195343,-676.1865234,330316.3011,318852.125
lka,Sri Lanka,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,6.542127609,15.7464962,22.28862763,76728.41096,81567.0313
xsa,Rest of South Asia,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.039893318,-0.073430151,-0.033536613,6478.645404,6360.7217
can,Canada,N America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-11.0162735,-258.2898865,-269.3061523,1314982.922,1470133.25
usa,United States of America,N America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,29.97697067,-3075.708984,-3045.73169,15606495.82,17663314
mex,Mexico,N America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,53.83771133,215.1973877,269.0350952,1074965.616,1045179
xna,Rest of North America,N America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.090233207,-0.567759752,-0.657991707,31446.136,36104.6172
arg,Argentina,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.168208599,-25.14331055,-22.97514153,513469.6686,605007.875
bol,Bolivia,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,3.579924107,0.873675585,4.453598976,31272.25462,35194.4219
bra,Brazil,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,148.6685181,759.1072998,907.7757568,1532254.245,1820812.375
chl,Chile,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.202963412,-13.22362518,-13.02066803,258966.5603,252467.9219
col,Colombia,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-8.2420578,-64.08600617,-72.32806397,264684.6565,285542.3437
ecu,Ecuador,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.664605021,-11.20067024,-11.86527157,95360.94733,91470.0547
pry,Paraguay,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.402416497,-9.173511505,-8.771093369,34200.03753,36365.2734
per,Peru,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.650852859,-6.410789013,-7.061641693,196870.4334,192188.6563
ury,Uruguay,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.336322308,1.986607671,4.32293272,50360.05408,58933.2617
ven,Venezuela,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,8.770843506,78.99797058,87.76881409,231786.982,227818.25
xsm,Rest of South America,S America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.287191391,-1.324775577,-1.611966848,11449.23467,12486.4063
cri,Costa Rica,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-3.306782961,-13.81627274,-17.1230545,48892.29968,56441.3281
gtm,Guatemala,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,7.632555008,11.37468433,19.00722313,65807.24184,65803.1172
hnd,Honduras,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.274920881,-1.314448237,-1.039527178,19662.4006,20325.9297
nic,Nicaragua,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.859116912,-9.123278618,-10.98239327,11431.13223,12682.29
pan,Panama,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.082399368,-16.30737495,-18.38977432,51717.71568,56917.7617
slv,El Salvador,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.640623748,-3.624086857,-4.26471138,22447.3747,22695.1777
xca,Rest of Central America,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.231215715,1.011534452,1.242750526,1261.343153,1638.5942
dom,Dominican Republic,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,1.799590111,3.297869444,5.097458839,73011.67222,73286.0078
hti,Haiti,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-4.211011887,-4.022644043,-8.23365593,13165.08978,13306.667
jam,Jamaica,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.097576514,-0.665646553,-0.763222694,11199.61762,13920.3203
pri,Puerto Rico,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.063334413,-22.90647888,-22.84313965,88186.64549,92681.7188
tto,Trinidad and Tobago,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.235928774,-4.316675186,-4.552604199,21229.1312,20768.2227
xcb,Rest of Caribbean,C America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-14.05791855,-43.38027573,-57.43820953,119976.1443,125676.7969
aut,Austria,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.413795352,-7.240712166,-7.654478073,288015.861,368294.3438
bel,Belgium,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,1.534907341,6.88076973,8.415691376,337525.0001,448323.2187
bgr,Bulgaria,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.619773924,1.419767141,2.03953886,46822.77924,53544.9297
hrv,Croatia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.459459424,-2.237076759,-2.696534634,40347.9858,50285.0195
cyp,Cyprus,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.253074229,2.639033079,2.892109394,18698.6466,19540.6523
cze,Czech Republic,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.359817296,-3.554359436,-3.194545984,168739.1319,193082.875
dnk,Denmark,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.616269589,-3.646552086,-1.03027916,270579.1919,298167.9063
est,Estonia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.054133989,-0.454041511,-0.508175433,19880.63649,24291.8047
fin,Finland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.472086906,-0.596685767,-0.124601632,190558.2423,226543.8594
fra,France,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,13.80488586,0.68341732,14.48820782,1679692.874,2334273.5
deu,Germany,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.678544223,-69.74802399,-70.42657471,2695266.552,3309027.25
grc,Greece,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.590126753,-0.066078499,0.524050951,146290.767,178645.4531
hun,Hungary,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.124960706,-7.446755409,-7.571710587,102057.0524,129410.2344
irl,Ireland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.332391381,-3.295234203,-4.627645493,289339.8116,308923.125
ita,Italy,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.226939678,-25.6164093,-23.38952637,1400627.102,1739692.875
lva,Latvia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.043653727,-0.401222795,-0.357569277,22500.86449,27634.2188
ltu,Lithuania,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.393686473,0.38241598,0.776099324,37254.97136,44220.0352
lux,Luxembourg,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.212549388,-0.847563267,-1.060112,52039.14419,60737.8008
mlt,Malta,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.074109569,-2.013253689,-2.087362766,10150.52118,12213.8828
nld,Netherlands,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,8.306623459,3.861924648,12.16857719,591769.5196,749251.6875
pol,Poland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.091913149,-11.98023987,-11.88836384,383990.9938,488390.6875
prt,Portugal,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.436246276,1.969618082,2.405851364,167046.0794,197595.2969
rou,Romania,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.931165934,-5.535847187,-7.467015266,172184.9273,189773.4844
svk,Slovakia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.11823304,-1.382306337,-1.264071703,73501.22106,86277.4531
svn,Slovenia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.073686138,-1.217049122,-1.143364668,33702.51129,43449.5859
esp,Spain,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,14.59261322,50.20716858,64.79971314,1006238.584,1176747
swe,Sweden,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.744180799,-1.536177039,-0.791986883,341947.0578,481407.4688
gbr,United Kingdom,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,6.381918907,-8.095164299,-1.713316917,2070663.3,2462082.5
che,Switzerland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-3.61711216,-17.14329147,-20.76040459,614780.3482,618194.375
nor,Norway,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.836030483,-13.25987434,-14.09591293,302568.304,353843
xef,Rest of European Free Trade Association,Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.17741406,-0.266681135,-0.089268118,26777.26109,28340.1992
alb,Albania,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.252000898,-0.615318418,-0.867318869,9961.498811,11598.3936
srb,Serbia,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.726669848,-1.918130159,-2.644797802,32499.2485,41049.5742
blr,Belarus,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.00669566,1.022175074,1.028868675,41291.25916,51442.7148
rus,Russian Federation,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-23.07750511,-112.1311264,-135.2086182,1414849.657,1416931.5
ukr,Ukraine,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.602057099,-7.227508545,-7.829571247,92953.81384,98648.5625
xee,Rest of Eastern Europe,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.137931019,-0.356048614,-0.493979335,6978.320462,9089.6191
xer,Rest of Europe,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.372757375,-0.696486831,-1.069243431,59313.17139,67338.8828
kaz,Kazakhstan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.424488783,-12.7463932,-15.17087841,155216.6755,156797.7969
kgz,Kyrgyzstan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.842094064,-1.187924862,-0.345829695,5631.758315,6901.4082
tjk,Tajikistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.130336136,-0.233308464,-0.102972344,6230.993532,6962.8936
uzb,Uzbekistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.95347476,0.539646149,3.49312067,59072.85149,58356.4453
xsu,Rest of Former Soviet Union,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.275463223,3.612342596,3.336879253,38501.65897,34832.8945
arm,Armenia,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.178478926,-0.493711352,-0.672189951,9593.049776,10835.7744
aze,Azerbaijan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.377523363,1.42942977,1.051906109,39217.26613,38413.6484
geo,Georgia,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.104505688,-0.130646646,-0.235151216,13221.33537,14890.5439
bhr,Bahrain,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.030199246,0.092729874,0.062533125,35957.80133,32165.9746
irn,Iran,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-4.910810471,-24.32111168,-29.23192024,515346.4176,434931.9375
irq,Iraq,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,24.14151764,81.94490051,106.086441,219386.9528,174636.375
isr,Israel,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,4.403510571,40.08673096,44.49023819,271465.7657,327577.625
jor,Jordan,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.069172859,8.07903862,10.14821434,36172.58826,38384.7266
kwt,Kuwait,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.032514095,7.848300934,5.815785408,123851.7658,110131.9297
lbn,Lebanon,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.507434011,0.764158845,1.27159667,43210.48119,46798.6133
omn,Oman,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.052599073,0.020297855,-1.03230238,79547.22301,71967.0938
pse,Palestine,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,5.554203987,12.43996906,17.99415588,14506.15917,14449.8262
qat,Qatar,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-3.49488163,16.33863258,12.84374046,150309.7396,144336.1875
sau,Saudi Arabia,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,18.43135452,212.4062347,230.8376007,717614.6933,623457.25
syr,Syrian Arab Republic,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.224475384,0.35170424,-0.872771263,11606.10289,15360.2432
tur,Turkey,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,1.864715576,3.332010031,5.196706295,672482.8986,767607.5
are,United Arab Emirates,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-5.62906456,-61.0379715,-66.66705322,381383.6835,337926.6875
xws,Rest of Western Asia,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,18.7022171,12.66231442,31.3645401,17328.90224,19057.4824
dza,Algeria,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,5.744581699,0.007735761,5.752310753,149027.0735,152328.75
egy,Egypt,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,9.368888855,47.84960938,57.21850205,249434.5177,221589.6875
mar,Morocco,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,3.241743803,7.497648239,10.73939133,99709.36145,96825.1016
tun,Tunisia,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.369054079,4.354496002,6.723549843,33090.36173,39588.7969
xnf,Rest of North Africa,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.475946009,-2.845821619,-3.321766377,60859.96295,60982.6328
ben,Benin,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.920854569,-3.301588059,-5.22244215,9998.454091,11939.5635
bfa,Burkina Faso,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-6.70621872,-8.513558388,-15.21977615,12273.69609,13260.4795
cmr,Cameroon,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-4.92034626,-6.81897068,-11.73931408,32652.87069,33822.0273
civ,Côte d'Ivoire,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.440014362,17.68071365,20.12073135,44814.00262,48491.9961
gha,Ghana,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,1.491874218,15.22803116,16.71990395,52146.10277,56548.1328
gin,Guinea,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.417328298,0.16838786,0.585716903,8454.469752,9704.915
mli,Mali,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-10.72213745,-4.835365295,-15.55749512,13792.51909,14441.8711
ner,Niger,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-24.27978897,-10.26969242,-34.54948425,10467.61713,10187.2168
nga,Nigeria,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-98.55027771,-356.583313,-455.1334229,363748.5919,351873.0313
sen,Senegal,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,16.2324276,22.06337547,38.29580689,16967.08291,19634.0078
tgo,Togo,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.269520938,-1.269584179,-1.539105415,4801.14959,5927.6763
xwf,Rest of Western Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,8.279779434,0.991557717,9.271335602,13873.75896,16344.1787
caf,Central African Republic,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-1.558412075,-0.592055678,-2.150466681,1919.252688,1904.2909
tcd,Chad,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-6.350423336,-1.663914204,-8.014333725,9752.811427,9400.3691
cog,Congo,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.068552561,-2.055779219,-2.124330282,6295.030544,9347.5195
cod,Democratic Republic of the Congo,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-5.238373756,-6.606126785,-11.84449863,34892.36037,35738.1094
gnq,Equatorial Guinea,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.100825898,-0.607764304,-0.708590269,9732.614641,10678.1719
gab,Gabon,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.245957628,0.157136634,0.40309459,14593.49193,13368.249
xac,Rest of South and Central Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-13.67286301,-11.74881554,-25.42167664,49388.72103,60546.6953
com,Comoros,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.308983207,-0.476466358,-0.785449266,930.5551598,981.2072
eth,Ethiopia,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,1.245202661,-2.277510643,-1.032304525,71920.34853,76864.0938
ken,Kenya,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.969040513,-3.786346197,-4.755382538,79547.84022,77113.7031
mdg,Madagascar,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,3.909469128,1.346513271,5.255979538,12734.4005,12385.7598
mwi,Malawi,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.851725221,-0.375032306,-1.226758242,8393.566427,8407
mus,Mauritius,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.065272227,-3.391257525,-3.456529379,11501.04829,12268.0928
moz,Mozambique,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.982449412,-1.886047602,-2.868495464,11968.95216,12348.6631
rwa,Rwanda,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.316168755,-0.205501795,-0.521670103,8383.379628,8697.6426
sdn,Sudan,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-12.47452164,-46.19232941,-58.66685486,124735.8095,121914.9219
tza,"Tanzania, United Republic of",Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-6.720028877,-5.387018681,-12.10704994,47783.89261,50112.3516
uga,Uganda,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.112821341,-1.104210854,-3.217031956,29393.47599,28899.8398
zmb,Zambia,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.226307273,-0.278951168,-0.505257845,24640.60172,23699.3281
zwe,Zimbabwe,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.254034549,-0.469370902,-0.215336472,15591.5875,16528.8145
xec,Rest of Eastern Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-5.553465843,-9.369081497,-14.92255211,17498.11635,19310.1895
bwa,Botswana,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.132847786,0.093333259,-0.039514437,15429.91615,14402.4277
swz,Eswatini,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.000221476,-0.065027967,-0.06480667,4282.31421,4046.6099
nam,Namibia,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.150724456,-0.517073512,-0.667798042,11533.26367,11904.374
zaf,South Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.154105097,-9.885779381,-10.03988361,334894.1536,349561.5625
xsc,Rest of South African Customs Union,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.005721775,-0.066395871,-0.072117567,2270.591123,2092.7068
xtw,Rest of the World,N America,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.000419433,0.000869432,0.001288864,76.28003619,90.5929
aus,Australia,Oceania,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,2.93903017,-27.01910973,-24.08010101,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,2.878901243,-3.855902195,-0.977004886,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,2.128209591,6.314332962,8.442540169,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-2432.453613,-9194.753906,-11627.20313,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-6.33826685,-21.09803009,-27.43628693,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-68.05490112,-1555.016846,-1623.072022,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-33.83123016,-543.3470459,-577.1782227,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-0.352853268,-1.276114464,-1.628967285,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-8.697630882,-300.6349793,-309.3326416,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,EV_total,Lancet,-1.95405376,-13.12746906,-15.08152485,65991.24494,60750.1563
